accounts-qml-module 0.7-2
ktexteditor 5.63.0-1
ktextwidgets 5.63.0-1
kunitconversion 5.63.0-1
kwallet 5.63.0-1
kwallet-pam 5.17.0-1
kwayland 5.63.0-1
kwayland-integration 5.17.0-1
kwidgetsaddons 5.63.0-1
kwin 5.17.0-1
kwindowsystem 5.63.0-1
kwrited 5.17.0-1
kxmlgui 5.63.0-1
l-smash 2.14.5-1
lame 3.100-2
lbzip2 2.5-4
lcms2 2.9-2
ldns 1.7.1-1
less 551-1
lftp 4.8.4-5
libaccounts-glib 1.24-1
libaccounts-qt 1.16-1
libaio 0.3.112-1
libarchive 3.4.0-2
libass 0.14.0-1
libassuan 2.5.3-1
libasyncns 0.8+3+g68cd5af-2
libatasmart 0.19-4
libatomic_ops 7.6.10-1
libavc1394 0.5.4-3
libblockdev 2.22-1
libbluray 1.1.2-1
libbytesize 2.1-1
libcanberra 0.30+2+gc0620e4-2
libcanberra-pulse 0.30+2+gc0620e4-2
libcap 2.27-1
libcap-ng 0.7.9-1
libcroco 0.6.13-1
libcups 2.3.0-3
libdaemon 0.14-4
libdatrie 0.2.12-1
libdbusmenu-qt5 0.9.3+16.04.20160218-4
libdmtx 0.7.5-1
libdrm 2.4.99-1
libedit 20190324_3.1-1
libelf 0.177-1
libepoxy 1.5.3-1
libevdev 1.8.0-1
libevent 2.1.11-2
libffi 3.2.1-3
libfontenc 1.1.4-1
libgcrypt 1.8.5-1
libgit2 1:0.28.3-1
libglvnd 1.2.0-2
libgpg-error 1.36-2
libgudev 233-1
libgusb 0.3.0-1
libibus 1.5.21-1
libical 3.0.6-1
libice 1.0.10-1
libidn 1.35-1
libidn2 2.2.0-1
libiec61883 1.2.0-5
libimobiledevice 1.2.0+87+g92c5462-1
libinput 1.14.1-1
libjpeg-turbo 2.0.3-1
libksba 1.3.5-1
libkscreen 5.17.0-1
libksysguard 5.17.0-1
libldap 2.4.48-1
libluv 1.30.1-1
libmbim 1.20.0-1
libmm-glib 1.10.6-1
libmnl 1.0.4-2
libmodplug 0.8.9.0-2
libndp 1.7-1
libnetfilter_conntrack 1.0.7-1
libnewt 0.52.21-1
libnfnetlink 1.0.1-3
libnftnl 1.1.4-1
libnghttp2 1.39.2-1
libnl 3.5.0-1
libnm 1.20.4-1
libnotify 0.7.8-1
libnsl 1.2.0-1
libogg 1.3.4-1
libomxil-bellagio 0.9.3-2
libotr 4.1.1-2
libpcap 1.9.0-1
libpciaccess 0.16-1
libpgm 5.2.122-4
libpipeline 1.5.1-1
libplacebo 1.18.0-2
libplist 2.0.0+11+gec9ba8b-2
libpng 1.6.37-1
libproxy 0.4.15-10
libpsl 0.21.0-1
libpulse 13.0-2
libpwquality 1.4.1-1
libqalculate 3.4.0-1
libqmi 1.24.0-1
libraw1394 2.1.2-2
librsvg 2:2.46.2-1
libsamplerate 0.1.9-2
libsasl 2.1.27-1
libseccomp 2.4.1-2
libsecret 0.19.1-1
libsm 1.2.3-1
libsndfile 1.0.28-2
libsodium 1.0.18-1
libsoup 2.68.2-1
libsoxr 0.1.3-1
libssh 0.9.0-1
libssh2 1.9.0-1
libstemmer 0+713-1
libtasn1 4.14-2
libteam 1.29-1
libtermkey 0.22-1
libthai 0.1.28-1
libtheora 1.1.1-4
libtiff 4.0.10-1
libtirpc 1.1.4-1
libtool 2.4.6+42+gb88cebd5-6
libunistring 0.9.10-1
libunwind 1.3.1-1
libusb 1.0.23-1
libusbmuxd 1.0.10+29+g9db5747-1
libutempter 1.1.6-3
libutil-linux 2.34-3
libuv 1.32.0-1
libva 2.5.0-1
libvdpau 1.3-1
libvisual 0.4.0-7
libvorbis 1.3.6-1
libvpx 1.8.1-1
libvterm 0.1.git5.4a5fa43-1
libwacom 1.1-1
libwebp 1.0.3-1
libx11 1.6.9-3
libxau 1.0.9-1
libxaw 1.0.13-2
libxcb 1.13.1-1
libxcomposite 0.4.5-1
libxcursor 1.2.0-1
libxdamage 1.1.5-1
libxdmcp 1.1.3-1
libxext 1.3.4-1
libxfixes 5.0.3-2
libxfont2 2.0.4-1
libxft 2.3.3-1
libxi 1.7.10-1
libxinerama 1.1.4-1
libxkbcommon 0.8.4-1
libxkbcommon-x11 0.8.4-1
libxkbfile 1.1.0-1
libxml2 2.9.9-3
libxmu 1.1.3-1
libxpm 3.5.12-2
libxrandr 1.5.2-1
libxrender 0.9.10-2
libxres 1.2.0-1
libxshmfence 1.3-1
libxslt 1.1.33-1
libxss 1.2.3-1
libxt 1.2.0-1
libxtst 1.2.3-2
libxv 1.0.11-2
libxxf86vm 1.1.4-2
libyaml 0.2.2-1
libzip 1.5.2-2
licenses 20181104-1
linux 5.3.1.arch1-1
linux-api-headers 5.1-1
linux-atm 2.5.2-6
linux-firmware 20190923.417a9c6-1
llvm-libs 9.0.0-3
lm_sensors 3.5.0-1
lmdb 0.9.24-1
logrotate 3.15.1-1
lrzip 0.631-2
lsscsi 0.30-1
lua 5.3.5-2
lua51 5.1.5-8
luajit 2.0.5-2
lvm2 2.02.186-2
lz4 1:1.9.2-1
lzo 2.10-2
lzop 1.04-2
man-db 2.8.7-1
man-pages 5.02-1
mc 4.8.23-1
mdadm 4.1-1
media-player-info 24-1
memtest86+ 5.01-3
mesa 19.2.1-1
milou 5.17.0-1
minizip 1:1.2.11-3
mkinitcpio 25-2
mkinitcpio-busybox 1.30.1-1
mkinitcpio-nfs-utils 0.3-6
mobile-broadband-provider-info 20190618-1
modemmanager 1.10.6-1
modemmanager-qt 5.63.0-1
mpfr 4.0.2-1
msgpack-c 3.2.0-1
mtdev 1.1.5-2
mtools 4.0.23-1
nano 4.4-1
nbd 3.20-1
ncurses 6.1-6
ndctl 66-1
ndisc6 1.0.4-1
neofetch 6.1.0-1
neovim 0.4.2-2
net-tools 1.60.20181103git-1
netctl 1.20-1
nettle 3.5.1-1
networkmanager 1.20.4-1
networkmanager-qt 5.63.0-1
nfs-utils 2.4.1-2
nfsidmap 2.4.1-2
nilfs-utils 2.2.8-1
nmap 7.80-1
noto-fonts 20190926-2
npth 1.6-1
nspr 4.22-1
nss 3.46-1
ntfs-3g 2017.3.23-3
ntp 4.2.8.p13-2
nvidia 435.21-13
nvidia-utils 435.21-1
openal 1.19.1-2
openconnect 1:8.05-1
opencore-amr 0.1.5-2
openjpeg2 2.3.1-1
openresolv 3.9.2-1
openssh 8.0p1-3
openssl 1.1.1.d-1
openssl-1.0 1.0.2.s-1
openvpn 2.4.7-1
opus 1.3.1-1
orc 0.4.30-1
oxygen 5.17.0-1
p11-kit 0.23.17-2
pacman 5.1.3-1
pacman-mirrorlist 20190821-1
pam 1.3.1-1
pambase 20190105.1-1
pango 1:1.44.6+2-1
partclone 0.3.11-1
parted 3.2-9
partimage 0.6.9-12
pbzip2 1.1.13-2
pciutils 3.6.2-1
pcre 8.43-1
pcre2 10.33-1
pcsclite 1.8.25-1
perl 5.30.0-3
perl-error 0.17028-1
perl-mailtools 2.21-2
perl-timedate 2.30-6
phonon-qt5 4.11.1-1
phonon-qt5-gstreamer 4.10.0-1
pigz 2.4-1
pinentry 1.1.0-4
pipewire 0.2.7-1
pixman 0.38.4-1
pixz 1.0.6-2
pkcs11-helper 1.25.1-1
plasma-browser-integration 5.17.0-1
plasma-desktop 5.17.0-1
plasma-framework 5.63.0-1
plasma-integration 5.17.0-1
plasma-nm 5.17.0-1
plasma-pa 5.17.0-1
plasma-sdk 5.17.0-1
plasma-thunderbolt 5.17.0-1
plasma-vault 5.17.0-1
plasma-workspace 5.17.0-1
plasma-workspace-wallpapers 5.17.0-1
polkit 0.116-3
polkit-kde-agent 5.17.0-1
polkit-qt5 0.113.0-1
poppler 0.80.0-2
poppler-qt5 0.80.0-2
popt 1.16-10
powerdevil 5.17.0-1
ppp 2.4.7-5
pptpclient 1.10.0-1
prison 5.63.0-1
procps-ng 3.3.15-1
progsreiserfs 0.3.0.5-9
psmisc 23.2-1
pulseaudio 13.0-2
purpose 5.63.0-1
python 3.7.4-2
qca 2.2.1-2
qqc2-desktop-style 5.63.0-1
qrencode 4.0.2-1
qt5-base 5.13.1-2
qt5-declarative 5.13.1-1
qt5-graphicaleffects 5.13.1-1
qt5-location 5.13.1-1
qt5-multimedia 5.13.1-1
qt5-quickcontrols 5.13.1-1
qt5-quickcontrols2 5.13.1-1
qt5-script 5.13.1-1
qt5-sensors 5.13.1-1
qt5-speech 5.13.1-1
qt5-svg 5.13.1-1
qt5-webchannel 5.13.1-1
qt5-webengine 5.13.1-3
qt5-webkit 5.212.0alpha3-4
qt5-x11extras 5.13.1-1
re2 20190901-1
readline 8.0.0-1
refind-efi 0.11.3-1
reiserfsprogs 3.6.27-2
rest 0.8.1-1
rp-pppoe 3.13-1
rpcbind 1.2.5-2
rsync 3.1.3-1
rtkit 0.12-1
s-nail 14.9.15-1
sbc 1.4-1
screen 4.6.2-1
sddm 0.18.1-1
sddm-kcm 5.17.0-1
sdl2 2.0.10-1
sdparm 1.10-2
sed 4.7-1
sg3_utils 1.44-1
shaderc 2019.0-2
shadow 4.7-2
shared-mime-info 1.14-1
signon-kwallet-extension 19.08.2-1
signon-plugin-oauth2 0.24-2
signon-ui 0.17+20150611-2
signond 8.60-1
slang 2.3.2-1
smartmontools 7.0-1
snappy 1.1.7-1
socat 1.7.3.3-1
solid 5.63.0-1
sonnet 5.63.0-1
sound-theme-freedesktop 0.8-3
speex 1.2.0-2
speexdsp 1.2.0-1
spirv-tools 2019.3-2
sqlite 3.29.0-1
sshfs 3.5.2-1
stoken 0.92-3
sudo 1.8.27-1
syntax-highlighting 5.63.0-1
sysfsutils 2.1.0-10
syslinux 6.04.pre2.r11.gbf6db5b4-1
systemd 243.51-1
systemd-libs 243.51-1
systemd-sysvcompat 243.51-1
systemsettings 5.17.0-1
taglib 1.11.1-3
tar 1.32-1
tcl 8.6.9-2
tcpdump 4.9.2-1
tdb 1.3.18-2
testdisk 7.0-5
texinfo 6.6-1
thin-provisioning-tools 0.8.5-2
threadweaver 5.63.0-1
tmux 2.9_a-4
tre 0.8.0-5
tslib 1.20-1
ttf-hack 3.003-1
tzdata 2019c-2
udisks2 2.8.4-1
unibilium 2.0.0-1
upower 0.99.11-1
usb_modeswitch 2.5.2-1
usbmuxd 1.1.0+48+g1cc8b34-3
usbutils 012-1
user-manager 5.17.0-1
util-linux 2.34-3
v4l-utils 1.16.7-1
vi 1:070224-3
vid.stab 1.1-2
vim 8.1.2102-1
vim-runtime 8.1.2102-1
volume_key 0.3.11-2
vpnc 1:0.5.3.r462.r78-1
vulkan-icd-loader 1.1.123-1
wayland 1.17.0-1
wayland-protocols 1.18-1
webrtc-audio-processing 0.3.1-1
wget 1.20.3-2
which 2.21-3
wireless-regdb 2019.06.03-1
wireless_tools 30.pre9-2
woff2 1.0.2-1
